Years.Initial,Years.Prolonged,Life.Total,No.Reg.TOC,No.Reg.OC.Yearly,Regeneration.Costs,"Regener. 
costs [€]",Regener. cost yearly,Ownership costs total,Ownership costs yearly...10,"Diff 
[€/year]","Diff 
[%/year]",Savings.Lifetime
7,2,9,186,26.571428571428573,15,30,15,216,24,2.571428571428573,0.09677419354838712,23.142857142857157
8,2,10,186,23.25,15,30,15,216,21.6,1.6499999999999986,0.07096774193548383,16.499999999999986
9,2,11,186,20.666666666666668,15,30,15,216,19.636363636363637,1.0303030303030312,0.04985337243401766,11.333333333333343
10,2,12,186,18.6,15,30,15,216,18,0.6000000000000014,0.032258064516129115,7.200000000000017
5,3,8,186,37.2,15,30,10,216,27,10.200000000000003,0.27419354838709686,81.60000000000002
6,3,9,186,31,15,30,10,216,24,7,0.22580645161290325,63
7,3,10,186,26.571428571428573,15,30,10,216,21.6,4.9714285714285715,0.18709677419354842,49.714285714285715
8,3,11,186,23.25,15,30,10,216,19.636363636363637,3.6136363636363633,0.15542521994134895,39.75
9,3,12,186,20.666666666666668,15,30,10,216,18,2.666666666666668,0.12903225806451613,32.000000000000014
10,3,13,186,18.6,15,30,10,216,16.615384615384617,1.9846153846153847,0.10669975186104219,25.8
5,4,9,186,37.2,15,30,7.5,216,24,13.200000000000003,0.3548387096774194,118.80000000000003
6,4,10,186,31,15,30,7.5,216,21.6,9.399999999999999,0.3032258064516129,93.99999999999999
7,4,11,186,26.571428571428573,15,30,7.5,216,19.636363636363637,6.935064935064936,0.26099706744868034,76.2857142857143
8,4,12,186,23.25,15,30,7.5,216,18,5.25,0.22580645161290325,63
9,4,13,186,20.666666666666668,15,30,7.5,216,16.615384615384617,4.051282051282051,0.19602977667493793,52.666666666666664
10,4,14,186,18.6,15,30,7.5,216,15.428571428571429,3.1714285714285726,0.17050691244239635,44.40000000000002
5,5,10,186,37.2,15,30,6,216,21.6,15.600000000000001,0.4193548387096774,156
6,5,11,186,31,15,30,6,216,19.636363636363637,11.363636363636363,0.36656891495601174,125
7,5,12,186,26.571428571428573,15,30,6,216,18,8.571428571428573,0.32258064516129037,102.85714285714288
8,5,13,186,23.25,15,30,6,216,16.615384615384617,6.634615384615383,0.28535980148883366,86.24999999999999
9,5,14,186,20.666666666666668,15,30,6,216,15.428571428571429,5.238095238095239,0.2534562211981567,73.33333333333334
10,5,15,186,18.6,15,30,6,216,14.4,4.200000000000001,0.22580645161290325,63.000000000000014
5,1,6,186,37.2,20,40,40,226,37.666666666666664,-0.46666666666666146,-0.012544802867383353,-2.7999999999999687
6,1,7,186,31,20,40,40,226,32.285714285714285,-1.2857142857142847,-0.041474654377880116,-8.999999999999993
7,1,8,186,26.571428571428573,20,40,40,226,28.25,-1.678571428571427,-0.06317204301075252,-13.428571428571416
8,1,9,186,23.25,20,40,40,226,25.11111111111111,-1.8611111111111107,-0.08004778972520898,-16.749999999999996
9,1,10,186,20.666666666666668,20,40,40,226,22.6,-1.9333333333333336,-0.09354838709677415,-19.333333333333336
10,1,11,186,18.6,20,40,40,226,20.545454545454547,-1.9454545454545453,-0.10459433040078192,-21.4
5,2,7,186,37.2,20,40,20,226,32.285714285714285,4.914285714285718,0.1321044546850999,34.40000000000003
6,2,8,186,31,20,40,20,226,28.25,2.75,0.08870967741935487,22
7,2,9,186,26.571428571428573,20,40,20,226,25.11111111111111,1.4603174603174622,0.054958183990442167,13.14285714285716
8,2,10,186,23.25,20,40,20,226,22.6,0.6499999999999986,0.027956989247311714,6.499999999999986
9,2,11,186,20.666666666666668,20,40,20,226,20.545454545454547,0.1212121212121211,0.0058651026392961825,1.3333333333333321
10,2,12,186,18.6,20,40,20,226,18.833333333333332,-0.23333333333333073,-0.012544802867383353,-2.7999999999999687
5,3,8,186,37.2,20,40,13.333333333333334,226,28.25,8.950000000000003,0.24059139784946237,71.60000000000002
6,3,9,186,31,20,40,13.333333333333334,226,25.11111111111111,5.888888888888889,0.1899641577060932,53
7,3,10,186,26.571428571428573,20,40,13.333333333333334,226,22.6,3.9714285714285715,0.1494623655913978,39.714285714285715
8,3,11,186,23.25,20,40,13.333333333333334,226,20.545454545454547,2.7045454545454533,0.11632453567937429,29.749999999999986
9,3,12,186,20.666666666666668,20,40,13.333333333333334,226,18.833333333333332,1.8333333333333357,0.08870967741935498,22.00000000000003
10,3,13,186,18.6,20,40,13.333333333333334,226,17.384615384615383,1.2153846153846182,0.06534325889164616,15.800000000000036
5,4,9,186,37.2,20,40,10,226,25.11111111111111,12.088888888888892,0.32497013142174436,108.80000000000003
6,4,10,186,31,20,40,10,226,22.6,8.399999999999999,0.2709677419354838,83.99999999999999
7,4,11,186,26.571428571428573,20,40,10,226,20.545454545454547,6.025974025974026,0.2267839687194526,66.28571428571429
8,4,12,186,23.25,20,40,10,226,18.833333333333332,4.416666666666668,0.1899641577060932,53.000000000000014
9,4,13,186,20.666666666666668,20,40,10,226,17.384615384615383,3.2820512820512846,0.15880893300248156,42.6666666666667
10,4,14,186,18.6,20,40,10,226,16.142857142857142,2.457142857142859,0.1321044546850999,34.40000000000003
5,5,10,186,37.2,20,40,8,226,22.6,14.600000000000001,0.3924731182795699,146
6,5,11,186,31,20,40,8,226,20.545454545454547,10.454545454545453,0.3372434017595307,114.99999999999999
7,5,12,186,26.571428571428573,20,40,8,226,18.833333333333332,7.738095238095241,0.29121863799283165,92.85714285714289
8,5,13,186,23.25,20,40,8,226,17.384615384615383,5.865384615384617,0.25227460711331684,76.25000000000001
9,5,14,186,20.666666666666668,20,40,8,226,16.142857142857142,4.5238095238095255,0.21889400921658997,63.33333333333336
10,5,15,186,18.6,20,40,8,226,15.066666666666666,3.533333333333335,0.18996415770609332,53.00000000000003
5,1,6,186,37.2,25,50,50,236,39.333333333333336,-2.133333333333333,-0.05734767025089593,-12.799999999999997
6,1,7,186,31,25,50,50,236,33.714285714285715,-2.7142857142857153,-0.0875576036866359,-19.000000000000007
7,1,8,186,26.571428571428573,25,50,50,236,29.5,-2.928571428571427,-0.11021505376344076,-23.428571428571416
8,1,9,186,23.25,25,50,50,236,26.22222222222222,-2.9722222222222214,-0.1278375149342892,-26.749999999999993
9,1,10,186,20.666666666666668,25,50,50,236,23.6,-2.9333333333333336,-0.14193548387096766,-29.333333333333336
10,1,11,186,18.6,25,50,50,236,21.454545454545453,-2.854545454545452,-0.1534701857282501,-31.39999999999997
5,2,7,186,37.2,25,50,25,236,33.714285714285715,3.4857142857142875,0.09370199692780345,24.400000000000013
6,2,8,186,31,25,50,25,236,29.5,1.5,0.048387096774193505,12
7,2,9,186,26.571428571428573,25,50,25,236,26.22222222222222,0.3492063492063515,0.0131421744324971,3.1428571428571637
8,2,10,186,23.25,25,50,25,236,23.6,-0.3500000000000014,-0.01505376344086029,-3.500000000000014
9,2,11,186,20.666666666666668,25,50,25,236,21.454545454545453,-0.7878787878787854,-0.038123167155425186,-8.66666666666664
10,2,12,186,18.6,25,50,25,236,19.666666666666668,-1.0666666666666664,-0.05734767025089593,-12.799999999999997
5,3,8,186,37.2,25,50,16.666666666666668,236,29.5,7.700000000000003,0.206989247311828,61.60000000000002
6,3,9,186,31,25,50,16.666666666666668,236,26.22222222222222,4.777777777777779,0.15412186379928317,43.00000000000001
7,3,10,186,26.571428571428573,25,50,16.666666666666668,236,23.6,2.9714285714285715,0.1118279569892473,29.714285714285715
8,3,11,186,23.25,25,50,16.666666666666668,236,21.454545454545453,1.7954545454545467,0.07722385141739985,19.750000000000014
9,3,12,186,20.666666666666668,25,50,16.666666666666668,236,19.666666666666668,1,0.048387096774193505,12
10,3,13,186,18.6,25,50,16.666666666666668,236,18.153846153846153,0.4461538461538481,0.02398676592224991,5.800000000000026
5,4,9,186,37.2,25,50,12.5,236,26.22222222222222,10.977777777777781,0.29510155316606934,98.80000000000004
6,4,10,186,31,25,50,12.5,236,23.6,7.399999999999999,0.23870967741935478,73.99999999999999
7,4,11,186,26.571428571428573,25,50,12.5,236,21.454545454545453,5.11688311688312,0.19257086999022488,56.28571428571432
8,4,12,186,23.25,25,50,12.5,236,19.666666666666668,3.583333333333332,0.15412186379928305,42.999999999999986
9,4,13,186,20.666666666666668,25,50,12.5,236,18.153846153846153,2.5128205128205146,0.12158808933002485,32.666666666666686
10,4,14,186,18.6,25,50,12.5,236,16.857142857142858,1.7428571428571438,0.09370199692780345,24.400000000000013
5,5,10,186,37.2,25,50,10,236,23.6,13.600000000000001,0.3655913978494624,136
6,5,11,186,31,25,50,10,236,21.454545454545453,9.545454545454547,0.3079178885630499,105.00000000000001
7,5,12,186,26.571428571428573,25,50,10,236,19.666666666666668,6.904761904761905,0.2598566308243727,82.85714285714286
8,5,13,186,23.25,25,50,10,236,18.153846153846153,5.096153846153847,0.2191894127377999,66.25
9,5,14,186,20.666666666666668,25,50,10,236,16.857142857142858,3.80952380952381,0.18433179723502302,53.33333333333334
10,5,15,186,18.6,25,50,10,236,15.733333333333333,2.866666666666669,0.15412186379928328,43.000000000000036
5,1,6,186,37.2,30,60,60,246,41,-3.799999999999997,-0.10215053763440851,-22.799999999999983
6,1,7,186,31,30,60,60,246,35.142857142857146,-4.142857142857146,-0.1336405529953919,-29.00000000000002
7,1,8,186,26.571428571428573,30,60,60,246,30.75,-4.178571428571427,-0.157258064516129,-33.428571428571416
8,1,9,186,23.25,30,60,60,246,27.333333333333332,-4.083333333333332,-0.17562724014336917,-36.749999999999986
9,1,10,186,20.666666666666668,30,60,60,246,24.6,-3.9333333333333336,-0.1903225806451614,-39.333333333333336
10,1,11,186,18.6,30,60,60,246,22.363636363636363,-3.763636363636362,-0.2023460410557183,-41.39999999999998
5,2,7,186,37.2,30,60,30,246,35.142857142857146,2.057142857142857,0.055299539170506895,14.399999999999999
